Date,Price,Open,High,Low,Vol.,Change %
10/18/1996,830.25,839.64,847.09,830.24,44.57M,-1.13%
10/17/1996,839.73,836.32,847.33,834.51,54.49M,0.55%
10/16/1996,835.17,829.08,835.26,823.68,47.92M,0.79%
10/15/1996,828.61,843.85,848.49,828.61,55.16M,-1.62%
10/14/1996,842.28,840.86,849.12,838.08,56.02M,0.18%
10/12/1996,840.8,833.93,843.99,833.93,36.14M,0.88%
10/11/1996,833.43,830.83,836.96,827.19,53.46M,0.39%
10/10/1996,830.21,819.05,830.22,819.05,53.89M,1.52%
10/09/1996,817.78,798.71,817.78,798.71,46.68M,2.53%
10/08/1996,797.62,795.51,806.12,795.51,39.12M,0.29%
10/07/1996,795.33,777.82,801.8,777.82,41.05M,2.32%
10/05/1996,777.31,775.38,779.04,773.89,22.83M,0.11%
10/04/1996,776.43,793.93,793.93,776.43,38.66M,-2.21%
10/02/1996,794.01,789.6,798.62,786.79,45.25M,0.58%
10/01/1996,789.47,790.47,794.37,784.1,66.19M,-0.03%
09/30/1996,789.67,794.33,804.68,789.47,28.72M,-0.45%
09/25/1996,793.21,778.84,798.46,778.84,30.40M,1.97%
09/24/1996,777.91,768.75,778.35,767.49,26.66M,1.13%
09/23/1996,769.2,767.97,778.24,765.29,28.49M,0.11%
09/21/1996,768.37,758.69,769.16,754.69,18.18M,1.19%
09/20/1996,759.35,773.21,773.87,755.09,30.82M,-1.78%
09/19/1996,773.15,781.88,784.58,772.79,28.70M,-1.14%
09/18/1996,782.1,782.71,787.5,781.79,28.96M,0.04%
09/17/1996,781.76,781.6,784.26,779.17,22.38M,-0.02%
09/16/1996,781.88,780.88,788.4,780.88,20.94M,0.02%
09/14/1996,781.73,783.97,787.07,781.49,15.56M,-0.44%
09/13/1996,785.19,797.39,797.39,785.13,24.31M,-1.55%
09/12/1996,797.57,801.35,802.43,794.35,25.06M,-0.48%
09/11/1996,801.45,802.98,803.94,798.31,21.46M,-0.20%
09/10/1996,803.04,798.32,806.17,798.32,24.88M,0.71%
09/09/1996,797.38,785.11,799.11,783.74,23.10M,1.54%
09/07/1996,785.26,783.96,787.36,782.03,15.76M,0.15%
09/06/1996,784.05,786.64,789.99,779.47,22.64M,-0.39%
09/05/1996,787.14,795.25,798.07,787.14,23.13M,-0.57%
09/04/1996,791.64,771.95,794.08,771.95,28.58M,2.84%
09/03/1996,769.8,771.83,771.83,764.28,16.38M,-0.58%
09/02/1996,774.26,781.77,782.81,771.14,17.10M,-0.93%
08/31/1996,781.49,782.77,783.08,774.2,13.76M,-0.18%
08/30/1996,782.87,767.32,782.89,766.22,20.44M,2.18%
08/29/1996,766.16,754.25,766.22,750.41,19.35M,1.70%
08/28/1996,753.35,761.17,764.33,749.76,19.75M,-1.10%
08/27/1996,761.75,763.72,774.57,760.35,16.79M,-0.67%
08/26/1996,766.89,782.67,782.67,766.64,18.20M,-1.95%
08/24/1996,782.13,781.69,788.07,781.01,13.76M,0.09%
08/23/1996,781.42,779.66,786.27,779.66,21.39M,0.23%
08/22/1996,779.63,789.17,792.68,779.59,16.83M,-1.20%
08/21/1996,789.12,793.16,793.16,783.33,17.22M,-0.60%
08/20/1996,793.91,799.98,806.04,793.9,16.13M,-0.83%
08/19/1996,800.52,809.29,810.94,799.53,14.87M,-1.25%
08/17/1996,810.69,814.29,814.6,810.18,10.60M,-0.52%
08/16/1996,814.96,825.21,825.45,814.81,16.40M,-1.32%
08/14/1996,825.84,832.86,833.39,825.81,20.60M,-0.91%
08/13/1996,833.43,839.03,839.39,832.32,19.20M,-0.54%
08/12/1996,837.99,835.77,838.55,835.73,19.32M,0.15%
08/10/1996,836.77,831.69,837.1,831.69,14.27M,0.50%
08/09/1996,832.61,836.98,837.19,830.49,18.72M,-0.55%
08/08/1996,837.2,834.23,844.93,834.23,27.11M,0.38%
08/07/1996,834.03,827.74,834.03,827.6,20.10M,0.72%
08/06/1996,828.05,824.28,830.6,822.05,20.33M,0.45%
08/05/1996,824.3,823.98,826.21,821.64,19.24M,0.03%
08/03/1996,824.08,825.35,827.05,823.48,13.55M,-0.26%
08/02/1996,826.23,835.75,835.75,825.63,20.87M,-1.08%
08/01/1996,835.27,822.8,837.71,822.8,28.34M,1.65%
07/31/1996,821.71,806.13,821.71,806.13,23.53M,1.79%
07/30/1996,807.28,805.87,808.21,795.93,18.91M,0.26%
07/29/1996,805.15,804.33,813.3,802.9,16.56M,0.07%
07/27/1996,804.55,812.25,812.25,802.98,13.71M,-1.16%
07/26/1996,814.03,818.38,823.24,814,23.74M,-0.76%
07/25/1996,820.29,831.64,831.64,818.87,20.85M,-1.46%
07/24/1996,832.48,838.31,841.9,830.92,19.69M,-0.75%
07/23/1996,838.78,837.66,840.47,835.38,20.13M,0.00%
07/22/1996,838.75,839.57,844.59,837.04,19.05M,-0.15%
07/20/1996,840.05,838.55,845.85,835.99,15.22M,0.32%
07/19/1996,837.39,815.52,837.41,815.45,19.37M,2.56%
07/18/1996,816.47,813.34,827.78,813.34,19.11M,0.47%
07/16/1996,812.66,811.97,812.69,800.42,23.78M,-0.18%
07/15/1996,814.11,833.54,833.54,814.11,20.75M,-2.54%
